table_name,0.0.2,autoschema_snappy_v2,autoschema_zstd_v2,duckdb_native_12
Arade,0.000470458,0.146,0.10300000000000001,0.007000000000000001
Bimbo,0.000304917,0.092,0.131,0.006
CMSprovider,0.00389446,0.714,0.9390000000000001,0.01
CityMaxCapita,0.0033327499999999998,1.491,2.037,0.008
CommonGovernment,0.0038323299999999997,0.766,0.8460000000000001,0.015
Corporations,0.000754958,0.678,0.72,0.011
Eixo,0.0033164600000000002,1.307,1.684,0.028999999999999998
Euro2016,0.000837917,0.501,0.859,0.007000000000000001
Food,0.000275667,0.156,0.175,0.006
Generico,0.000906042,0.495,0.5700000000000001,0.012
HashTags,0.00687775,4.598,6.42,0.034
Hatred,0.00237792,1.565,2.0170000000000003,0.012
IGlocations1,0.000747625,0.301,0.396,0.007000000000000001
MLB,0.00155358,0.806,0.8859999999999999,0.011
MedPayment1,0.00388608,0.89,1.204,0.01
Medicare1,0.00379583,0.725,0.9480000000000001,0.007000000000000001
Motos,0.00100483,0.983,1.166,0.013000000000000001
MulheresMil,0.00360942,1.407,1.9760000000000002,0.020999999999999998
NYC,0.00152196,1.053,1.3050000000000002,0.022
PanCreactomy1,0.00382071,1.099,1.494,0.01
Physicians,0.00431667,0.9,1.381,0.008
Provider,0.00381683,0.921,1.163,0.01
RealEstate1,0.00166117,0.914,1.318,0.011
Redfin1,0.0049237099999999995,0.826,1.389,0.025
Rentabilidad,0.0150412,1.719,2.238,0.052000000000000005
Romance,0.000878291,1.476,1.968,0.011
SalariesFrance,0.00396488,1.0150000000000001,1.629,0.020999999999999998
TableroSistemaPenal,0.00039150000000000003,0.149,0.185,0.01
Taxpayer,0.00369188,0.999,1.234,0.015
Telco,0.0257823,5.575,6.837999999999999,0.05
TrainsUK1,0.000980833,0.96,1.417,0.006
TrainsUK2,0.00156038,1.08,1.561,0.019
USCensus,0.00981392,2.586,2.799,0.266
Uberlandia,0.00349596,1.448,1.935,0.025
Wins,0.0123596,3.732,4.872,0.041999999999999996
YaleLanguages,0.000726083,0.27999999999999997,0.327,0.008
Total,0.140526871,44.353,58.13,0.8370000000000001
